year,state,county_name,fips_code,rep_num,dem_num,county_num,vap,dem_margin,turnout,state_electoral_votes
2008,AZ,Cochise,04003,29026.0,18943.0,48820,88980,-0.2065342072920934,0.548662620813666,10
2008,AZ,Coconino,04005,22186.0,31433.0,54344,89285,0.17015677903724422,0.6086576692613541,10
2008,AZ,Gila,04007,14095.0,7884.0,22333,38810,-0.27810862848699236,0.57544447307395,10
2008,AZ,Graham,04009,8376.0,3487.0,12007,24240,-0.40717914549845924,0.49533828382838285,10
2008,AZ,Greenlee,04011,1712.0,1165.0,2913,5170,-0.18777892207346378,0.5634429400386847,10
2008,AZ,La Paz,04012,3509.0,1929.0,5552,14625,-0.2845821325648415,0.3796239316239316,10
2008,AZ,Maricopa,04013,746448.0,602166.0,1364962,2394365,-0.10570404157771425,0.5700726497422072,10
2008,AZ,Mohave,04015,44333.0,22092.0,67605,144250,-0.32898454256341986,0.46866551126516465,10
2008,AZ,Navajo,04017,19761.0,15579.0,35800,73975,-0.11681564245810055,0.48394727948631294,10
2008,AZ,Pima,04019,182406.0,206254.0,393428,684300,0.060615919558343584,0.574934970042379,10
2008,AZ,Pinal,04021,59421.0,44254.0,104883,199585,-0.14460875451693792,0.5255054237542901,10
2008,AZ,Santa Cruz,04023,4518.0,8683.0,13303,21360,0.31308727354732013,0.6227996254681648,10
2008,AZ,Yavapai,04025,61192.0,36889.0,99648,159360,-0.2438884874759152,0.6253012048192771,10
2008,AZ,Yuma,04027,24577.0,18559.0,43615,103450,-0.1379800527341511,0.42160463992266795,10
2004,AR,Arkansas,05001,3789.0,3110.0,6946,14605,-0.09775410308090987,0.4755905511811024,6
2004,AR,Ashley,05003,4567.0,3881.0,8512,16380,-0.0805921052631579,0.5196581196581197,6
2004,AR,Baxter,05005,11128.0,7129.0,18530,33580,-0.21581219643820831,0.5518165574746873,6
2004,AR,Benton,05007,46571.0,20756.0,68121,139795,-0.37895803056326244,0.48729210629850855,6
2004,AR,Boone,05009,9793.0,4640.0,14777,27645,-0.3487176016782838,0.5345270392476036,6
2004,AR,Bradley,05011,2011.0,2206.0,4249,8680,0.045893151329724644,0.48951612903225805,6
2004,AR,Calhoun,05013,1341.0,942.0,2303,4150,-0.17325227963525835,0.5549397590361446,6
2004,AR,Carroll,05015,6184.0,4161.0,10481,19755,-0.1930159335941227,0.5305492280435333,6
2004,AR,Chicot,05017,1725.0,2993.0,4757,9035,0.26655455118772337,0.526508024349751,6
2004,AR,Clark,05019,4127.0,4985.0,9189,18355,0.09337251061051256,0.5006265322800327,6
2004,AR,Clay,05021,2759.0,3264.0,6096,12515,0.08284120734908136,0.487095485417499,6
2004,AR,Cleburne,05023,7001.0,4702.0,11835,19955,-0.19425433037600337,0.5930844399899774,6
2004,AR,Cleveland,05025,2009.0,1450.0,3496,6485,-0.1598970251716247,0.5390902081727063,6
2004,AR,Columbia,05027,5729.0,4108.0,9909,18180,-0.16358865677666767,0.5450495049504951,6
2004,AR,Conway,05029,4293.0,4259.0,8649,15450,-0.0039310902994565845,0.5598058252427185,6
