geoid,geoname,year,cvap_est
05000US26027,"Cass County, Michigan",2004,38480.0
05000US27021,"Cass County, Minnesota",2004,21917.0
05000US29037,"Cass County, Missouri",2004,67819.0
05000US31025,"Cass County, Nebraska",2004,18275.0
05000US38017,"Cass County, North Dakota",2004,98072.0
05000US48067,"Cass County, Texas",2004,22710.0
05000US16031,"Cassia County, Idaho",2004,13108.0
05000US48069,"Castro County, Texas",2004,4249.0
05000US37033,"Caswell County, North Carolina",2004,18514.0
05000US22025,"Catahoula Parish, Louisiana",2004,8119.0
05000US37035,"Catawba County, North Carolina",2004,107352.0
05000US72033,"Cata�o Municipio, Puerto Rico",2004,20441.0
05000US13047,"Catoosa County, Georgia",2004,44748.0
05000US35003,"Catron County, New Mexico",2004,3214.0
05000US36009,"Cattaraugus County, New York",2004,61706.0
05000US38019,"Cavalier County, North Dakota",2004,3289.0
05000US72035,"Cayey Municipio, Puerto Rico",2004,36246.0
05000US36011,"Cayuga County, New York",2004,62148.0
05000US24015,"Cecil County, Maryland",2004,71326.0
05000US19031,"Cedar County, Iowa",2004,13641.0
05000US29039,"Cedar County, Missouri",2004,10761.0
05000US31027,"Cedar County, Nebraska",2004,6585.0
05000US72037,"Ceiba Municipio, Puerto Rico",2004,12259.0
05000US42027,"Centre County, Pennsylvania",2004,115241.0
05000US19033,"Cerro Gordo County, Iowa",2004,34362.0
05000US08015,"Chaffee County, Colorado",2004,13155.0
05000US01017,"Chambers County, Alabama",2004,26314.0
05000US48071,"Chambers County, Texas",2004,18953.0
05000US17019,"Champaign County, Illinois",2004,140727.0
05000US39021,"Champaign County, Ohio",2004,29503.0
05000US29041,"Chariton County, Missouri",2004,6191.0
05000US51036,"Charles City County, Virginia",2004,5815.0
05000US24017,"Charles County, Maryland",2004,94546.0
05000US46023,"Charles Mix County, South Dakota",2004,6279.0
05000US45019,"Charleston County, South Carolina",2004,237599.0
05000US26029,"Charlevoix County, Michigan",2004,19502.0
05000US12015,"Charlotte County, Florida",2004,118760.0
05000US51037,"Charlotte County, Virginia",2004,9579.0
05000US51540,"Charlottesville city, Virginia",2004,30719.0
05000US13049,"Charlton County, Georgia",2004,8846.0
05000US20017,"Chase County, Kansas",2004,2151.0
05000US31029,"Chase County, Nebraska",2004,2918.0
05000US13051,"Chatham County, Georgia",2004,175960.0
05000US37037,"Chatham County, North Carolina",2004,39774.0
05000US13053,"Chattahoochee County, Georgia",2004,9551.0
05000US13055,"Chattooga County, Georgia",2004,20105.0
05000US20019,"Chautauqua County, Kansas",2004,3135.0
05000US36013,"Chautauqua County, New York",2004,105330.0
05000US35005,"Chaves County, New Mexico",2004,40217.0
05000US47021,"Cheatham County, Tennessee",2004,27601.0
05000US26031,"Cheboygan County, Michigan",2004,20859.0
05000US53007,"Chelan County, Washington",2004,46313.0
05000US36015,"Chemung County, New York",2004,68778.0
05000US36017,"Chenango County, New York",2004,39092.0
05000US01019,"Cherokee County, Alabama",2004,19880.0
05000US13057,"Cherokee County, Georgia",2004,122291.0
05000US19035,"Cherokee County, Iowa",2004,9523.0
05000US20021,"Cherokee County, Kansas",2004,16560.0
05000US37039,"Cherokee County, North Carolina",2004,20691.0
05000US40021,"Cherokee County, Oklahoma",2004,33056.0
05000US45021,"Cherokee County, South Carolina",2004,39145.0
05000US48073,"Cherokee County, Texas",2004,32257.0
05000US31031,"Cherry County, Nebraska",2004,4393.0
05000US51550,"Chesapeake city, Virginia",2004,149216.0
05000US33005,"Cheshire County, New Hampshire",2004,60377.0
05000US42029,"Chester County, Pennsylvania",2004,334574.0
05000US45023,"Chester County, South Carolina",2004,24582.0
05000US47023,"Chester County, Tennessee",2004,12506.0
05000US45025,"Chesterfield County, South Carolina",2004,32273.0
05000US51041,"Chesterfield County, Virginia",2004,197936.0
05000US08017,"Cheyenne County, Colorado",2004,1607.0
05000US20023,"Cheyenne County, Kansas",2004,2223.0
05000US31033,"Cheyenne County, Nebraska",2004,7497.0
05000US19037,"Chickasaw County, Iowa",2004,9387.0
